latent_dim,train_mse,val_mse,test_mse,input_dim,compression_ratio
2,0.4796057533836365,0.48264656757354735,0.49234964479446414,11,5.5
3,0.3580840376377106,0.36178656432151796,0.36627249913215637,11,3.6666666666666665
4,0.2566114545631409,0.26165395513534545,0.26161277536392213,11,2.75
5,0.18952380109786987,0.19210276349067687,0.19215808659553527,11,2.2
6,0.12627956056118012,0.12723893274784087,0.12822994151592254,11,1.8333333333333333
7,0.084809267141819,0.0868828190779686,0.08691013635158538,11,1.5714285714285714
8,0.05598127274394035,0.05690506397485733,0.057784623320102695,11,1.375
9,0.03217580663084984,0.032544994266033175,0.033727297360897066,11,1.2222222222222223
10,0.013640679164528846,0.013769941629469394,0.014175199134349822,11,1.1
11,2.8265640733297915e-05,0.0001255457747564651,0.00012865025564562528,11,1.0
