,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
u_g_lsst,-0.20013579599275677,-0.10826893268802693,-0.12248038222055249,0.1253056151973677,0.6254086333829659,-0.4600712640815181,0.2329885813067437,0.15270116827855157,0.4863331919653891,-0.0206081666318908
g_r_lsst,-0.06576643159543005,0.5112385674887256,-0.24759816463137696,0.17247853371188265,0.2679708135561653,0.022822585947806468,0.3385320174184495,-0.5329353893898912,-0.34881813368023207,-0.21485136936312751
r_i_lsst,0.16492213506780387,0.533673144001206,-0.10050821466646755,0.19858144058823665,-0.24426030481404765,0.09756719252567081,0.3069455645138539,0.6224344673806056,0.17048978967336195,-0.18520657348145292
i_z_lsst,0.1632956352779084,0.2969660951090223,-0.05342246518428528,-0.6475633645297921,-0.09194235362046108,0.010503581482026198,-0.062113955951615174,-0.3328903277150895,0.5480254353613202,-0.1250244078013054
z_y_lsst,0.0659005723025937,-0.1001621991906687,0.06500697598003703,0.6711555364287709,-0.3417943929762314,0.011423770938000042,-0.07380498122528771,-0.41619413134149696,0.46376891761551897,-0.09070118715226287
g_r_des,-0.1358160503347888,0.2852209567508896,-0.5528334424127751,0.1340312198842274,0.09340017021352662,0.1550247642324381,-0.49211017145378105,0.049096257845381575,0.10315349722147854,0.5371042897656105
r_i_des,0.21346506446324565,0.2961008055592354,0.5975154157854501,0.06175692675626518,0.15052681639421445,-0.0018791126182465974,0.20414140822988425,-0.09192326206610989,0.05163408146186797,0.6560525558292191
i_z_des,-0.09401260840021507,-0.2722437179910578,-0.40092023681409805,-0.13867190205792682,-0.3994677245062913,-0.08946431218709135,0.623013702271757,-0.09411236111362078,0.013397256187656812,0.4150482056192854
J_Y_euc,-0.4781249719127756,0.21942757017756856,0.15739842873040424,-0.031197595889032252,-0.2582315132441827,-0.5558680793983197,-0.16026197065326972,-0.02200597731686063,-0.1948559883972123,0.04196292548736528
Y_H_euc,0.5970413739524786,-0.19905042097183068,-0.2053973503211709,0.054186535853245676,0.23225966508120718,-0.06700996520451284,-0.01847303848560938,-0.03164522873670829,-0.18716939475355474,0.04825559874539292
H_VIS_euc,-0.48938653872056415,-0.11389363922589174,0.12713408901768491,-0.020232437296243244,0.2013239697031699,0.6576729033782697,0.17197131970662877,-0.0009401129314204974,0.1041068369466534,-0.0037990505430552843
