component,explained_variance_ratio,cumulative_variance
1,0.16470999778041695,0.16470999778041695
2,0.14924355346499846,0.3139535512454154
3,0.14503355952965868,0.4589871107750741
4,0.12080608532577106,0.5797931961008451
5,0.11570600109660353,0.6954991971974487
6,0.07949699352171885,0.7749961907191676
7,0.07329435915495015,0.8482905498741178
8,0.05216537480242251,0.9004559246765403
9,0.047332859626892786,0.9477887843034332
10,0.02749134999830394,0.9752801343017371
11,0.024719865698263142,1.0000000000000002
