combination_id,min_cluster_size,min_samples,cluster_selection_epsilon,n_clusters,n_noise,noise_fraction
1,5,5,0.0,7,15390,0.6156
2,5,5,1.0,3,9720,0.3888
3,5,5,2.0,2,8408,0.33632
4,5,5,3.0,2,8408,0.33632
5,5,5,4.0,2,8408,0.33632
6,5,25,0.0,7,24476,0.97904
7,5,25,1.0,2,23667,0.94668
8,5,25,2.0,2,23667,0.94668
9,5,25,3.0,2,23667,0.94668
10,5,25,4.0,2,23667,0.94668
11,5,50,0.0,3,24091,0.96364
12,5,50,1.0,2,23962,0.95848
13,5,50,2.0,2,23962,0.95848
14,5,50,3.0,2,23962,0.95848
15,5,50,4.0,2,23962,0.95848
16,50,5,0.0,3,23704,0.94816
17,50,5,1.0,2,23302,0.93208
18,50,5,2.0,2,23302,0.93208
19,50,5,3.0,2,23302,0.93208
20,50,5,4.0,2,23302,0.93208
21,50,25,0.0,2,24053,0.96212
22,50,25,1.0,2,24053,0.96212
23,50,25,2.0,2,24053,0.96212
24,50,25,3.0,2,24053,0.96212
25,50,25,4.0,2,24053,0.96212
26,50,50,0.0,2,24120,0.9648
27,50,50,1.0,2,24120,0.9648
28,50,50,2.0,2,24120,0.9648
29,50,50,3.0,2,24120,0.9648
30,50,50,4.0,2,24120,0.9648
31,100,5,0.0,2,23764,0.95056
32,100,5,1.0,2,23764,0.95056
33,100,5,2.0,2,23764,0.95056
34,100,5,3.0,2,23764,0.95056
35,100,5,4.0,2,23764,0.95056
36,100,25,0.0,2,24053,0.96212
37,100,25,1.0,2,24053,0.96212
38,100,25,2.0,2,24053,0.96212
39,100,25,3.0,2,24053,0.96212
40,100,25,4.0,2,24053,0.96212
41,100,50,0.0,2,24120,0.9648
42,100,50,1.0,2,24120,0.9648
43,100,50,2.0,2,24120,0.9648
44,100,50,3.0,2,24120,0.9648
45,100,50,4.0,2,24120,0.9648
46,400,5,0.0,0,25000,1.0
47,400,5,1.0,0,25000,1.0
48,400,5,2.0,0,25000,1.0
49,400,5,3.0,0,25000,1.0
50,400,5,4.0,0,25000,1.0
51,400,25,0.0,0,25000,1.0
52,400,25,1.0,0,25000,1.0
53,400,25,2.0,0,25000,1.0
54,400,25,3.0,0,25000,1.0
55,400,25,4.0,0,25000,1.0
56,400,50,0.0,0,25000,1.0
57,400,50,1.0,0,25000,1.0
58,400,50,2.0,0,25000,1.0
59,400,50,3.0,0,25000,1.0
60,400,50,4.0,0,25000,1.0
