combination_id,min_cluster_size,min_samples,cluster_selection_epsilon,n_clusters,n_noise,noise_fraction
1,5,5,0.0,2,16571,0.66284
2,5,5,1.0,2,16571,0.66284
3,5,5,2.0,2,16571,0.66284
4,5,5,3.0,2,16571,0.66284
5,5,5,4.0,2,16571,0.66284
6,5,25,0.0,2,23635,0.9454
7,5,25,1.0,2,23635,0.9454
8,5,25,2.0,2,23635,0.9454
9,5,25,3.0,2,23635,0.9454
10,5,25,4.0,2,23635,0.9454
11,5,50,0.0,2,24415,0.9766
12,5,50,1.0,2,24415,0.9766
13,5,50,2.0,2,24415,0.9766
14,5,50,3.0,2,24415,0.9766
15,5,50,4.0,2,24415,0.9766
16,50,5,0.0,2,23241,0.92964
17,50,5,1.0,2,23241,0.92964
18,50,5,2.0,2,23241,0.92964
19,50,5,3.0,2,23241,0.92964
20,50,5,4.0,2,23241,0.92964
21,50,25,0.0,0,25000,1.0
22,50,25,1.0,0,25000,1.0
23,50,25,2.0,0,25000,1.0
24,50,25,3.0,0,25000,1.0
25,50,25,4.0,0,25000,1.0
26,50,50,0.0,0,25000,1.0
27,50,50,1.0,0,25000,1.0
28,50,50,2.0,0,25000,1.0
29,50,50,3.0,0,25000,1.0
30,50,50,4.0,0,25000,1.0
31,100,5,0.0,0,25000,1.0
32,100,5,1.0,0,25000,1.0
33,100,5,2.0,0,25000,1.0
34,100,5,3.0,0,25000,1.0
35,100,5,4.0,0,25000,1.0
36,100,25,0.0,0,25000,1.0
37,100,25,1.0,0,25000,1.0
38,100,25,2.0,0,25000,1.0
39,100,25,3.0,0,25000,1.0
40,100,25,4.0,0,25000,1.0
41,100,50,0.0,0,25000,1.0
42,100,50,1.0,0,25000,1.0
43,100,50,2.0,0,25000,1.0
44,100,50,3.0,0,25000,1.0
45,100,50,4.0,0,25000,1.0
46,400,5,0.0,0,25000,1.0
47,400,5,1.0,0,25000,1.0
48,400,5,2.0,0,25000,1.0
49,400,5,3.0,0,25000,1.0
50,400,5,4.0,0,25000,1.0
51,400,25,0.0,0,25000,1.0
52,400,25,1.0,0,25000,1.0
53,400,25,2.0,0,25000,1.0
54,400,25,3.0,0,25000,1.0
55,400,25,4.0,0,25000,1.0
56,400,50,0.0,0,25000,1.0
57,400,50,1.0,0,25000,1.0
58,400,50,2.0,0,25000,1.0
59,400,50,3.0,0,25000,1.0
60,400,50,4.0,0,25000,1.0
