sample_id,cluster_labels
0,0
1,-1
2,-1
3,-1
4,0
5,-1
6,-1
7,0
8,0
9,-1
10,-1
11,0
12,-1
13,-1
14,0
15,0
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,0
28,0
29,0
30,0
31,0
32,-1
33,0
34,0
35,0
36,0
37,-1
38,0
39,0
40,-1
41,-1
42,-1
43,0
44,-1
45,-1
46,-1
47,0
48,-1
49,-1
50,0
51,-1
52,0
53,-1
54,0
55,0
56,0
57,0
58,-1
59,-1
60,-1
61,-1
62,0
63,-1
64,-1
65,-1
66,-1
67,-1
68,-1
69,-1
70,-1
71,-1
72,-1
73,0
74,-1
75,-1
76,-1
77,-1
78,0
79,-1
80,-1
81,-1
82,0
83,-1
84,-1
85,-1
86,0
87,-1
88,-1
89,-1
90,-1
91,-1
92,0
93,-1
94,-1
95,-1
96,-1
97,0
98,-1
99,0
100,-1
101,-1
102,-1
103,0
104,0
105,-1
106,-1
107,-1
108,-1
109,0
110,-1
111,-1
112,-1
113,0
114,0
115,-1
116,-1
117,-1
118,0
119,0
120,0
121,-1
122,-1
123,-1
124,-1
125,0
126,-1
127,-1
128,0
129,-1
130,-1
131,-1
132,-1
133,0
134,0
135,0
136,0
137,-1
138,-1
139,-1
140,0
141,0
142,0
143,-1
144,0
145,0
146,-1
147,-1
148,0
149,0
150,-1
151,-1
152,-1
153,0
154,-1
155,0
156,0
157,0
158,-1
159,-1
160,-1
161,-1
162,-1
163,-1
164,0
165,-1
166,-1
167,-1
168,-1
169,0
170,-1
171,-1
172,-1
173,0
174,0
175,0
176,-1
177,-1
178,-1
179,-1
180,-1
181,0
182,0
183,0
184,-1
185,-1
186,-1
187,-1
188,-1
189,-1
190,-1
191,0
192,0
193,-1
194,0
195,-1
196,-1
197,0
198,-1
199,0
200,-1
201,-1
202,0
203,0
204,-1
205,-1
206,-1
207,0
208,-1
209,-1
210,0
211,-1
212,0
213,-1
214,-1
215,0
216,-1
217,-1
218,-1
219,-1
220,0
221,0
222,0
223,-1
224,0
225,0
226,-1
227,0
228,-1
229,0
230,-1
231,0
232,0
233,0
234,0
235,-1
236,-1
237,-1
238,0
239,0
240,-1
241,0
242,0
243,-1
244,-1
245,-1
246,0
247,-1
248,-1
249,0
250,0
251,-1
252,-1
253,-1
254,-1
255,-1
256,-1
257,-1
258,-1
259,-1
260,-1
261,0
262,0
263,-1
264,0
265,-1
266,-1
267,-1
268,0
269,-1
270,-1
271,0
272,0
273,0
274,0
275,-1
276,-1
277,-1
278,-1
279,0
280,-1
281,-1
282,-1
283,-1
284,-1
285,0
286,-1
287,-1
288,-1
289,0
290,-1
291,0
292,-1
293,-1
294,-1
295,0
296,-1
297,-1
298,-1
299,-1
300,-1
301,-1
302,0
303,0
304,0
305,0
306,0
307,-1
308,-1
309,-1
310,0
311,0
312,-1
313,0
314,-1
315,-1
316,-1
317,-1
318,0
319,0
320,-1
321,0
322,-1
323,0
324,-1
325,0
326,-1
327,-1
328,0
329,-1
330,-1
331,-1
332,0
333,-1
334,0
335,-1
336,-1
337,-1
338,-1
339,0
340,0
341,0
342,-1
343,-1
344,-1
345,-1
346,0
347,0
348,-1
349,-1
350,-1
351,-1
352,0
353,-1
354,-1
355,-1
356,-1
357,0
358,-1
359,-1
360,-1
361,-1
362,0
363,0
364,-1
365,-1
366,0
367,-1
368,-1
369,0
370,-1
371,0
372,0
373,0
374,0
375,-1
376,0
377,0
378,-1
379,-1
380,-1
381,-1
382,0
383,-1
384,0
385,0
386,-1
387,-1
388,-1
389,-1
390,0
391,0
392,0
393,-1
394,-1
395,-1
396,-1
397,0
398,-1
399,-1
400,-1
401,-1
402,-1
403,-1
404,-1
405,-1
406,-1
407,0
408,-1
409,-1
410,-1
411,-1
412,0
413,0
414,-1
415,-1
416,-1
417,-1
418,-1
419,-1
420,-1
421,-1
422,-1
423,-1
424,-1
425,-1
426,-1
427,-1
428,0
429,-1
430,0
431,-1
432,-1
433,-1
434,-1
435,-1
436,-1
437,-1
438,-1
439,-1
440,-1
441,0
442,-1
443,0
444,0
445,-1
446,0
447,0
448,-1
449,-1
450,-1
451,0
452,0
453,0
454,0
455,-1
456,-1
457,-1
458,0
459,0
460,0
461,-1
462,-1
463,0
464,0
465,-1
466,-1
467,-1
468,-1
469,-1
470,0
471,0
472,-1
473,-1
474,-1
475,-1
476,-1
477,0
478,-1
479,-1
480,-1
481,-1
482,-1
483,0
484,0
485,-1
486,0
487,-1
488,-1
489,0
490,0
491,0
492,-1
493,-1
494,0
495,0
496,0
497,-1
498,-1
499,0
500,-1
501,-1
502,0
503,0
504,-1
505,-1
506,-1
507,-1
508,-1
509,-1
510,-1
511,0
512,0
513,-1
514,0
515,-1
516,0
517,-1
518,-1
519,-1
520,0
521,-1
522,-1
523,-1
524,0
525,-1
526,0
527,-1
528,-1
529,-1
530,-1
531,-1
532,0
533,-1
534,-1
535,-1
536,0
537,-1
538,-1
539,0
540,0
541,-1
542,-1
543,-1
544,-1
545,-1
546,-1
547,0
548,0
549,-1
550,-1
551,0
552,0
553,-1
554,-1
555,-1
556,0
557,0
558,-1
559,-1
560,-1
561,0
562,-1
563,-1
564,0
565,-1
566,0
567,0
568,0
569,-1
570,-1
571,-1
572,-1
573,-1
574,0
575,-1
576,-1
577,-1
578,-1
579,0
580,-1
581,0
582,0
583,-1
584,-1
585,-1
586,-1
587,0
588,-1
589,-1
590,-1
591,-1
592,0
593,-1
594,-1
595,-1
596,-1
597,-1
598,-1
599,-1
600,0
601,0
602,-1
603,-1
604,-1
605,-1
606,-1
607,0
608,-1
609,-1
610,-1
611,-1
612,0
613,-1
614,-1
615,0
616,-1
617,-1
618,-1
619,-1
620,-1
621,-1
622,-1
623,0
624,-1
625,-1
626,0
627,-1
628,-1
629,-1
630,-1
631,-1
632,0
633,0
634,-1
635,-1
636,-1
637,-1
638,0
639,0
640,0
641,0
642,-1
643,-1
644,0
645,-1
646,-1
647,0
648,0
649,-1
650,0
651,-1
652,0
653,0
654,0
655,-1
656,-1
657,-1
658,-1
659,0
660,-1
661,0
662,-1
663,-1
664,0
665,-1
666,0
667,0
668,0
669,0
670,-1
671,-1
672,0
673,-1
674,-1
675,-1
676,-1
677,0
678,-1
679,-1
680,-1
681,-1
682,0
683,-1
684,-1
685,-1
686,-1
687,0
688,0
689,0
690,-1
691,-1
692,-1
693,0
694,-1
695,0
696,-1
697,-1
698,-1
699,-1
700,-1
701,-1
702,-1
703,-1
704,-1
705,0
706,-1
707,-1
708,-1
709,-1
710,0
711,0
712,-1
713,0
714,-1
715,0
716,0
717,0
718,-1
719,-1
720,-1
721,-1
722,-1
723,0
724,0
725,-1
726,-1
727,0
728,-1
729,-1
730,0
731,0
732,-1
733,-1
734,-1
735,-1
736,-1
737,0
738,-1
739,0
740,0
741,0
742,-1
743,0
744,0
745,-1
746,-1
747,0
748,-1
749,-1
750,-1
751,0
752,-1
753,-1
754,0
755,0
756,-1
757,-1
758,-1
759,-1
760,-1
761,0
762,-1
763,-1
764,-1
765,-1
766,-1
767,-1
768,-1
769,-1
770,-1
771,-1
772,-1
773,-1
774,-1
775,0
776,-1
777,-1
778,0
779,0
780,-1
781,0
782,-1
783,-1
784,0
785,-1
786,-1
787,0
788,-1
789,-1
790,0
791,-1
792,-1
793,-1
794,0
795,-1
796,0
797,-1
798,-1
799,-1
800,-1
801,0
802,0
803,-1
804,0
805,-1
806,-1
807,0
808,-1
809,0
810,0
811,-1
812,-1
813,0
814,-1
815,-1
816,0
817,-1
818,0
819,0
820,-1
821,-1
822,0
823,0
824,0
825,-1
826,0
827,-1
828,-1
829,-1
830,0
831,-1
832,-1
833,0
834,0
835,0
836,-1
837,-1
838,-1
839,0
840,0
841,-1
842,-1
843,-1
844,-1
845,0
846,-1
847,0
848,-1
849,0
850,-1
851,-1
852,0
853,-1
854,-1
855,-1
856,-1
857,-1
858,-1
859,-1
860,0
861,-1
862,-1
863,-1
864,0
865,0
866,-1
867,-1
868,0
869,-1
870,-1
871,0
872,-1
873,-1
874,-1
875,0
876,0
877,-1
878,-1
879,0
880,-1
881,-1
882,-1
883,-1
884,-1
885,0
886,-1
887,-1
888,-1
889,0
890,0
891,-1
892,-1
893,-1
894,0
895,0
896,0
897,-1
898,-1
899,-1
900,-1
901,-1
902,-1
903,0
904,-1
905,0
906,0
907,0
908,-1
909,-1
910,-1
911,0
912,-1
913,-1
914,-1
915,-1
916,0
917,-1
918,-1
919,-1
920,0
921,0
922,-1
923,-1
924,0
