combination_id,min_cluster_size,min_samples,cluster_selection_epsilon,n_clusters,n_noise,noise_fraction
1,5,5,0.0,7,15390,0.6156
2,5,5,2.0,2,8408,0.33632
3,5,5,4.0,2,8408,0.33632
4,5,10,0.0,2,21715,0.8686
5,5,10,2.0,2,21715,0.8686
6,5,10,4.0,2,21715,0.8686
7,5,20,0.0,4,23968,0.95872
8,5,20,2.0,2,23644,0.94576
9,5,20,4.0,2,23644,0.94576
10,5,50,0.0,3,24091,0.96364
11,5,50,2.0,2,23962,0.95848
12,5,50,4.0,2,23962,0.95848
13,25,5,0.0,4,23678,0.94712
14,25,5,2.0,2,22833,0.91332
15,25,5,4.0,2,22833,0.91332
16,25,10,0.0,2,23899,0.95596
17,25,10,2.0,2,23899,0.95596
18,25,10,4.0,2,23899,0.95596
19,25,20,0.0,2,23991,0.95964
20,25,20,2.0,2,23991,0.95964
21,25,20,4.0,2,23991,0.95964
22,25,50,0.0,3,24091,0.96364
23,25,50,2.0,2,23962,0.95848
24,25,50,4.0,2,23962,0.95848
25,50,5,0.0,3,23704,0.94816
26,50,5,2.0,2,23302,0.93208
27,50,5,4.0,2,23302,0.93208
28,50,10,0.0,2,23899,0.95596
29,50,10,2.0,2,23899,0.95596
30,50,10,4.0,2,23899,0.95596
31,50,20,0.0,2,23991,0.95964
32,50,20,2.0,2,23991,0.95964
33,50,20,4.0,2,23991,0.95964
34,50,50,0.0,2,24120,0.9648
35,50,50,2.0,2,24120,0.9648
36,50,50,4.0,2,24120,0.9648
37,100,5,0.0,2,23764,0.95056
38,100,5,2.0,2,23764,0.95056
39,100,5,4.0,2,23764,0.95056
40,100,10,0.0,2,23899,0.95596
41,100,10,2.0,2,23899,0.95596
42,100,10,4.0,2,23899,0.95596
43,100,20,0.0,2,23991,0.95964
44,100,20,2.0,2,23991,0.95964
45,100,20,4.0,2,23991,0.95964
46,100,50,0.0,2,24120,0.9648
47,100,50,2.0,2,24120,0.9648
48,100,50,4.0,2,24120,0.9648
49,200,5,0.0,0,25000,1.0
50,200,5,2.0,0,25000,1.0
51,200,5,4.0,0,25000,1.0
52,200,10,0.0,0,25000,1.0
53,200,10,2.0,0,25000,1.0
54,200,10,4.0,0,25000,1.0
55,200,20,0.0,0,25000,1.0
56,200,20,2.0,0,25000,1.0
57,200,20,4.0,0,25000,1.0
58,200,50,0.0,0,25000,1.0
59,200,50,2.0,0,25000,1.0
60,200,50,4.0,0,25000,1.0
61,400,5,0.0,0,25000,1.0
62,400,5,2.0,0,25000,1.0
63,400,5,4.0,0,25000,1.0
64,400,10,0.0,0,25000,1.0
65,400,10,2.0,0,25000,1.0
66,400,10,4.0,0,25000,1.0
67,400,20,0.0,0,25000,1.0
68,400,20,2.0,0,25000,1.0
69,400,20,4.0,0,25000,1.0
70,400,50,0.0,0,25000,1.0
71,400,50,2.0,0,25000,1.0
72,400,50,4.0,0,25000,1.0
