combination_id,min_cluster_size,min_samples,cluster_selection_epsilon,n_clusters,n_noise,noise_fraction
1,50,5,0.0,2,0,0.0
2,50,5,1.0,2,0,0.0
3,50,5,2.0,2,0,0.0
4,50,10,0.0,2,0,0.0
5,50,10,1.0,2,0,0.0
6,50,10,2.0,2,0,0.0
7,50,20,0.0,2,0,0.0
8,50,20,1.0,2,0,0.0
9,50,20,2.0,2,0,0.0
10,200,5,0.0,2,0,0.0
11,200,5,1.0,2,0,0.0
12,200,5,2.0,2,0,0.0
13,200,10,0.0,2,0,0.0
14,200,10,1.0,2,0,0.0
15,200,10,2.0,2,0,0.0
16,200,20,0.0,2,0,0.0
17,200,20,1.0,2,0,0.0
18,200,20,2.0,2,0,0.0
19,500,5,0.0,4,19346,0.77384
20,500,5,1.0,2,16249,0.64996
21,500,5,2.0,2,16249,0.64996
22,500,10,0.0,2,21630,0.8652
23,500,10,1.0,2,21630,0.8652
24,500,10,2.0,2,21630,0.8652
25,500,20,0.0,2,19985,0.7994
26,500,20,1.0,2,19985,0.7994
27,500,20,2.0,2,19985,0.7994
