combination_id,min_cluster_size,min_samples,cluster_selection_epsilon,n_clusters,n_noise,noise_fraction
1,50,5,0.0,3,596,0.02384
2,50,5,1.0,2,1,4e-05
3,50,5,2.0,2,1,4e-05
4,50,10,0.0,3,1223,0.04892
5,50,10,1.0,2,1,4e-05
6,50,10,2.0,2,1,4e-05
7,50,20,0.0,2,1,4e-05
8,50,20,1.0,2,1,4e-05
9,50,20,2.0,2,1,4e-05
10,200,5,0.0,2,1,4e-05
11,200,5,1.0,2,1,4e-05
12,200,5,2.0,2,1,4e-05
13,200,10,0.0,2,1,4e-05
14,200,10,1.0,2,1,4e-05
15,200,10,2.0,2,1,4e-05
16,200,20,0.0,2,1,4e-05
17,200,20,1.0,2,1,4e-05
18,200,20,2.0,2,1,4e-05
19,500,5,0.0,0,25000,1.0
20,500,5,1.0,0,25000,1.0
21,500,5,2.0,0,25000,1.0
22,500,10,0.0,0,25000,1.0
23,500,10,1.0,0,25000,1.0
24,500,10,2.0,0,25000,1.0
25,500,20,0.0,0,25000,1.0
26,500,20,1.0,0,25000,1.0
27,500,20,2.0,0,25000,1.0
