combination_id,min_cluster_size,min_samples,cluster_selection_epsilon,n_clusters,n_noise,noise_fraction
1,5,5,0.0,2,0,0.0
2,5,5,1.0,2,0,0.0
3,5,5,2.0,2,0,0.0
4,5,5,3.0,2,0,0.0
5,5,5,4.0,2,0,0.0
6,5,25,0.0,2,1,4e-05
7,5,25,1.0,2,1,4e-05
8,5,25,2.0,2,1,4e-05
9,5,25,3.0,2,1,4e-05
10,5,25,4.0,2,1,4e-05
11,5,50,0.0,2,2,8e-05
12,5,50,1.0,2,2,8e-05
13,5,50,2.0,2,2,8e-05
14,5,50,3.0,2,2,8e-05
15,5,50,4.0,2,2,8e-05
16,50,5,0.0,3,1027,0.04108
17,50,5,1.0,2,0,0.0
18,50,5,2.0,2,0,0.0
19,50,5,3.0,2,0,0.0
20,50,5,4.0,2,0,0.0
21,50,25,0.0,2,1,4e-05
22,50,25,1.0,2,1,4e-05
23,50,25,2.0,2,1,4e-05
24,50,25,3.0,2,1,4e-05
25,50,25,4.0,2,1,4e-05
26,50,50,0.0,2,2,8e-05
27,50,50,1.0,2,2,8e-05
28,50,50,2.0,2,2,8e-05
29,50,50,3.0,2,2,8e-05
30,50,50,4.0,2,2,8e-05
31,100,5,0.0,2,0,0.0
32,100,5,1.0,2,0,0.0
33,100,5,2.0,2,0,0.0
34,100,5,3.0,2,0,0.0
35,100,5,4.0,2,0,0.0
36,100,25,0.0,2,1,4e-05
37,100,25,1.0,2,1,4e-05
38,100,25,2.0,2,1,4e-05
39,100,25,3.0,2,1,4e-05
40,100,25,4.0,2,1,4e-05
41,100,50,0.0,2,2,8e-05
42,100,50,1.0,2,2,8e-05
43,100,50,2.0,2,2,8e-05
44,100,50,3.0,2,2,8e-05
45,100,50,4.0,2,2,8e-05
46,400,5,0.0,0,25000,1.0
47,400,5,1.0,0,25000,1.0
48,400,5,2.0,0,25000,1.0
49,400,5,3.0,0,25000,1.0
50,400,5,4.0,0,25000,1.0
51,400,25,0.0,0,25000,1.0
52,400,25,1.0,0,25000,1.0
53,400,25,2.0,0,25000,1.0
54,400,25,3.0,0,25000,1.0
55,400,25,4.0,0,25000,1.0
56,400,50,0.0,0,25000,1.0
57,400,50,1.0,0,25000,1.0
58,400,50,2.0,0,25000,1.0
59,400,50,3.0,0,25000,1.0
60,400,50,4.0,0,25000,1.0
