combination_id,min_cluster_size,min_samples,cluster_selection_epsilon,n_clusters,n_noise,noise_fraction
1,5,5,0.0,3,9190,0.3676
2,5,5,1.0,3,9190,0.3676
3,5,5,2.0,2,7910,0.3164
4,5,5,3.0,2,7910,0.3164
5,5,5,4.0,2,7910,0.3164
6,5,25,0.0,2,23646,0.94584
7,5,25,1.0,2,23646,0.94584
8,5,25,2.0,2,23646,0.94584
9,5,25,3.0,2,23646,0.94584
10,5,25,4.0,2,23646,0.94584
11,5,50,0.0,4,24577,0.98308
12,5,50,1.0,2,24361,0.97444
13,5,50,2.0,2,24361,0.97444
14,5,50,3.0,2,24361,0.97444
15,5,50,4.0,2,24361,0.97444
16,50,5,0.0,3,24139,0.96556
17,50,5,1.0,2,24106,0.96424
18,50,5,2.0,2,24106,0.96424
19,50,5,3.0,2,24106,0.96424
20,50,5,4.0,2,24106,0.96424
21,50,25,0.0,3,24341,0.97364
22,50,25,1.0,2,24120,0.9648
23,50,25,2.0,2,24120,0.9648
24,50,25,3.0,2,24120,0.9648
25,50,25,4.0,2,24120,0.9648
26,50,50,0.0,2,24361,0.97444
27,50,50,1.0,2,24361,0.97444
28,50,50,2.0,2,24361,0.97444
29,50,50,3.0,2,24361,0.97444
30,50,50,4.0,2,24361,0.97444
31,100,5,0.0,3,24139,0.96556
32,100,5,1.0,2,24106,0.96424
33,100,5,2.0,2,24106,0.96424
34,100,5,3.0,2,24106,0.96424
35,100,5,4.0,2,24106,0.96424
36,100,25,0.0,2,24120,0.9648
37,100,25,1.0,2,24120,0.9648
38,100,25,2.0,2,24120,0.9648
39,100,25,3.0,2,24120,0.9648
40,100,25,4.0,2,24120,0.9648
41,100,50,0.0,2,24654,0.98616
42,100,50,1.0,2,24654,0.98616
43,100,50,2.0,2,24654,0.98616
44,100,50,3.0,2,24654,0.98616
45,100,50,4.0,2,24654,0.98616
46,400,5,0.0,0,25000,1.0
47,400,5,1.0,0,25000,1.0
48,400,5,2.0,0,25000,1.0
49,400,5,3.0,0,25000,1.0
50,400,5,4.0,0,25000,1.0
51,400,25,0.0,0,25000,1.0
52,400,25,1.0,0,25000,1.0
53,400,25,2.0,0,25000,1.0
54,400,25,3.0,0,25000,1.0
55,400,25,4.0,0,25000,1.0
56,400,50,0.0,0,25000,1.0
57,400,50,1.0,0,25000,1.0
58,400,50,2.0,0,25000,1.0
59,400,50,3.0,0,25000,1.0
60,400,50,4.0,0,25000,1.0
