combination_id,min_cluster_size,min_samples,cluster_selection_epsilon,n_clusters,n_noise,noise_fraction
1,5,5,0.0,3,9190,0.3676
2,5,5,2.0,2,7910,0.3164
3,5,5,4.0,2,7910,0.3164
4,5,10,0.0,2,23022,0.92088
5,5,10,2.0,2,23022,0.92088
6,5,10,4.0,2,23022,0.92088
7,5,20,0.0,2,23418,0.93672
8,5,20,2.0,2,23418,0.93672
9,5,20,4.0,2,23418,0.93672
10,5,50,0.0,4,24577,0.98308
11,5,50,2.0,2,24361,0.97444
12,5,50,4.0,2,24361,0.97444
13,25,5,0.0,2,22489,0.89956
14,25,5,2.0,2,22489,0.89956
15,25,5,4.0,2,22489,0.89956
16,25,10,0.0,3,24304,0.97216
17,25,10,2.0,2,24296,0.97184
18,25,10,4.0,2,24296,0.97184
19,25,20,0.0,4,24379,0.97516
20,25,20,2.0,2,24301,0.97204
21,25,20,4.0,2,24301,0.97204
22,25,50,0.0,3,24583,0.98332
23,25,50,2.0,2,24361,0.97444
24,25,50,4.0,2,24361,0.97444
25,50,5,0.0,3,24139,0.96556
26,50,5,2.0,2,24106,0.96424
27,50,5,4.0,2,24106,0.96424
28,50,10,0.0,3,24304,0.97216
29,50,10,2.0,2,24296,0.97184
30,50,10,4.0,2,24296,0.97184
31,50,20,0.0,4,24379,0.97516
32,50,20,2.0,2,24301,0.97204
33,50,20,4.0,2,24301,0.97204
34,50,50,0.0,2,24361,0.97444
35,50,50,2.0,2,24361,0.97444
36,50,50,4.0,2,24361,0.97444
37,100,5,0.0,3,24139,0.96556
38,100,5,2.0,2,24106,0.96424
39,100,5,4.0,2,24106,0.96424
40,100,10,0.0,3,24304,0.97216
41,100,10,2.0,2,24296,0.97184
42,100,10,4.0,2,24296,0.97184
43,100,20,0.0,3,24440,0.9776
44,100,20,2.0,2,24301,0.97204
45,100,20,4.0,2,24301,0.97204
46,100,50,0.0,2,24654,0.98616
47,100,50,2.0,2,24654,0.98616
48,100,50,4.0,2,24654,0.98616
49,200,5,0.0,3,24139,0.96556
50,200,5,2.0,2,24106,0.96424
51,200,5,4.0,2,24106,0.96424
52,200,10,0.0,3,24304,0.97216
53,200,10,2.0,2,24296,0.97184
54,200,10,4.0,2,24296,0.97184
55,200,20,0.0,0,25000,1.0
56,200,20,2.0,0,25000,1.0
57,200,20,4.0,0,25000,1.0
58,200,50,0.0,0,25000,1.0
59,200,50,2.0,0,25000,1.0
60,200,50,4.0,0,25000,1.0
61,400,5,0.0,0,25000,1.0
62,400,5,2.0,0,25000,1.0
63,400,5,4.0,0,25000,1.0
64,400,10,0.0,0,25000,1.0
65,400,10,2.0,0,25000,1.0
66,400,10,4.0,0,25000,1.0
67,400,20,0.0,0,25000,1.0
68,400,20,2.0,0,25000,1.0
69,400,20,4.0,0,25000,1.0
70,400,50,0.0,0,25000,1.0
71,400,50,2.0,0,25000,1.0
72,400,50,4.0,0,25000,1.0
