combination_id,min_cluster_size,min_samples,cluster_selection_epsilon,n_clusters,n_noise,noise_fraction
1,5,5,0.0,2,16830,0.6732
2,5,5,2.0,2,16830,0.6732
3,5,5,4.0,2,16830,0.6732
4,5,10,0.0,2,22193,0.88772
5,5,10,2.0,2,22193,0.88772
6,5,10,4.0,2,22193,0.88772
7,5,20,0.0,2,23496,0.93984
8,5,20,2.0,2,23496,0.93984
9,5,20,4.0,2,23496,0.93984
10,5,50,0.0,2,24625,0.985
11,5,50,2.0,2,24625,0.985
12,5,50,4.0,2,24625,0.985
13,25,5,0.0,2,24222,0.96888
14,25,5,2.0,2,24222,0.96888
15,25,5,4.0,2,24222,0.96888
16,25,10,0.0,2,24203,0.96812
17,25,10,2.0,2,24203,0.96812
18,25,10,4.0,2,24203,0.96812
19,25,20,0.0,2,24472,0.97888
20,25,20,2.0,2,24472,0.97888
21,25,20,4.0,2,24472,0.97888
22,25,50,0.0,2,24625,0.985
23,25,50,2.0,2,24625,0.985
24,25,50,4.0,2,24625,0.985
25,50,5,0.0,3,24472,0.97888
26,50,5,2.0,2,24222,0.96888
27,50,5,4.0,2,24222,0.96888
28,50,10,0.0,2,24203,0.96812
29,50,10,2.0,2,24203,0.96812
30,50,10,4.0,2,24203,0.96812
31,50,20,0.0,2,24758,0.99032
32,50,20,2.0,2,24758,0.99032
33,50,20,4.0,2,24758,0.99032
34,50,50,0.0,2,24817,0.99268
35,50,50,2.0,2,24817,0.99268
36,50,50,4.0,2,24817,0.99268
37,100,5,0.0,0,25000,1.0
38,100,5,2.0,0,25000,1.0
39,100,5,4.0,0,25000,1.0
40,100,10,0.0,0,25000,1.0
41,100,10,2.0,0,25000,1.0
42,100,10,4.0,0,25000,1.0
43,100,20,0.0,2,24758,0.99032
44,100,20,2.0,2,24758,0.99032
45,100,20,4.0,2,24758,0.99032
46,100,50,0.0,0,25000,1.0
47,100,50,2.0,0,25000,1.0
48,100,50,4.0,0,25000,1.0
49,200,5,0.0,0,25000,1.0
50,200,5,2.0,0,25000,1.0
51,200,5,4.0,0,25000,1.0
52,200,10,0.0,0,25000,1.0
53,200,10,2.0,0,25000,1.0
54,200,10,4.0,0,25000,1.0
55,200,20,0.0,0,25000,1.0
56,200,20,2.0,0,25000,1.0
57,200,20,4.0,0,25000,1.0
58,200,50,0.0,0,25000,1.0
59,200,50,2.0,0,25000,1.0
60,200,50,4.0,0,25000,1.0
61,400,5,0.0,0,25000,1.0
62,400,5,2.0,0,25000,1.0
63,400,5,4.0,0,25000,1.0
64,400,10,0.0,0,25000,1.0
65,400,10,2.0,0,25000,1.0
66,400,10,4.0,0,25000,1.0
67,400,20,0.0,0,25000,1.0
68,400,20,2.0,0,25000,1.0
69,400,20,4.0,0,25000,1.0
70,400,50,0.0,0,25000,1.0
71,400,50,2.0,0,25000,1.0
72,400,50,4.0,0,25000,1.0
