combination_id,min_cluster_size,min_samples,cluster_selection_epsilon,n_clusters,n_noise,noise_fraction
1,5,5,0.0,7,19594,0.78376
2,5,5,2.0,2,15496,0.61984
3,5,5,4.0,2,15496,0.61984
4,5,10,0.0,2,22158,0.88632
5,5,10,2.0,2,22158,0.88632
6,5,10,4.0,2,22158,0.88632
7,5,20,0.0,2,23715,0.9486
8,5,20,2.0,2,23715,0.9486
9,5,20,4.0,2,23715,0.9486
10,5,50,0.0,3,24825,0.993
11,5,50,2.0,2,24820,0.9928
12,5,50,4.0,2,24820,0.9928
13,25,5,0.0,3,24690,0.9876
14,25,5,2.0,2,24618,0.98472
15,25,5,4.0,2,24618,0.98472
16,25,10,0.0,3,24831,0.99324
17,25,10,2.0,2,24829,0.99316
18,25,10,4.0,2,24829,0.99316
19,25,20,0.0,2,24768,0.99072
20,25,20,2.0,2,24768,0.99072
21,25,20,4.0,2,24768,0.99072
22,25,50,0.0,2,24820,0.9928
23,25,50,2.0,2,24820,0.9928
24,25,50,4.0,2,24820,0.9928
25,50,5,0.0,2,24618,0.98472
26,50,5,2.0,2,24618,0.98472
27,50,5,4.0,2,24618,0.98472
28,50,10,0.0,2,24866,0.99464
29,50,10,2.0,2,24866,0.99464
30,50,10,4.0,2,24866,0.99464
31,50,20,0.0,2,24768,0.99072
32,50,20,2.0,2,24768,0.99072
33,50,20,4.0,2,24768,0.99072
34,50,50,0.0,0,25000,1.0
35,50,50,2.0,0,25000,1.0
36,50,50,4.0,0,25000,1.0
37,100,5,0.0,0,25000,1.0
38,100,5,2.0,0,25000,1.0
39,100,5,4.0,0,25000,1.0
40,100,10,0.0,0,25000,1.0
41,100,10,2.0,0,25000,1.0
42,100,10,4.0,0,25000,1.0
43,100,20,0.0,2,24768,0.99072
44,100,20,2.0,2,24768,0.99072
45,100,20,4.0,2,24768,0.99072
46,100,50,0.0,0,25000,1.0
47,100,50,2.0,0,25000,1.0
48,100,50,4.0,0,25000,1.0
49,200,5,0.0,0,25000,1.0
50,200,5,2.0,0,25000,1.0
51,200,5,4.0,0,25000,1.0
52,200,10,0.0,0,25000,1.0
53,200,10,2.0,0,25000,1.0
54,200,10,4.0,0,25000,1.0
55,200,20,0.0,0,25000,1.0
56,200,20,2.0,0,25000,1.0
57,200,20,4.0,0,25000,1.0
58,200,50,0.0,0,25000,1.0
59,200,50,2.0,0,25000,1.0
60,200,50,4.0,0,25000,1.0
61,400,5,0.0,0,25000,1.0
62,400,5,2.0,0,25000,1.0
63,400,5,4.0,0,25000,1.0
64,400,10,0.0,0,25000,1.0
65,400,10,2.0,0,25000,1.0
66,400,10,4.0,0,25000,1.0
67,400,20,0.0,0,25000,1.0
68,400,20,2.0,0,25000,1.0
69,400,20,4.0,0,25000,1.0
70,400,50,0.0,0,25000,1.0
71,400,50,2.0,0,25000,1.0
72,400,50,4.0,0,25000,1.0
