latent_dim,train_mse,val_mse,test_mse,input_dim,compression_ratio
2,0.35146603556632994,0.35497102066040037,0.35975331382751463,25,12.5
3,0.2627369316291809,0.2648617644691467,0.2669095912361145,25,8.333333333333334
4,0.1975272241783142,0.1997027650165558,0.2015891292476654,25,6.25
5,0.15254788129806518,0.15486442947387696,0.15569128509521485,25,5.0
6,0.11227107177257538,0.11450274019241333,0.11544588235139847,25,4.166666666666667
7,0.0851399430680275,0.08566146059036255,0.08730947958946228,25,3.5714285714285716
8,0.06197199750900269,0.06303815122485161,0.06365640637636184,25,3.125
9,0.04516974565386772,0.045890681334733965,0.04654854556083679,25,2.7777777777777777
10,0.03273948834896088,0.03287441417098046,0.033368277316093445,25,2.5
11,0.020458652736544607,0.020851593786478044,0.021013359565138817,25,2.272727272727273
12,0.010859293982088566,0.011037152486443519,0.011297407258749009,25,2.0833333333333335
13,0.004373496702164412,0.0044979669535160065,0.004543325407058001,25,1.9230769230769231
14,7.373753844411112e-05,1.2957368942152243e-05,1.4449516259483061e-05,25,1.7857142857142858
15,5.43669347994728e-05,1.9654247502912766e-05,2.0132877579308115e-05,25,1.6666666666666667
16,2.146257010230329e-05,8.742466835537926e-06,8.696465935354353e-06,25,1.5625
17,2.215570328058675e-05,2.165217562811449e-05,2.171132611169014e-05,25,1.4705882352941178
18,2.542909607072943e-05,4.314394848188386e-06,4.583985487406608e-06,25,1.3888888888888888
19,2.7050079915788956e-05,2.579593804432079e-05,2.7149971664184704e-05,25,1.3157894736842106
20,2.1787836611038072e-05,5.066358161275275e-05,5.036736278911121e-05,25,1.25
21,4.053097448369954e-05,1.9436161371995693e-05,1.9464935613796116e-05,25,1.1904761904761905
22,2.238941475166939e-05,4.991177078103647e-05,4.9830615936079994e-05,25,1.1363636363636365
23,2.9682216729415815e-05,9.092454600613564e-06,9.013718837231864e-06,25,1.0869565217391304
24,3.6876264733436985e-05,7.379139288823353e-06,8.680785670294426e-06,25,1.0416666666666667
25,3.443166312470566e-05,2.3816033982438967e-05,2.3232605797820725e-05,25,1.0
