,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
ulsst_TOT,0.22802752059103668,-0.16064562083210235,-0.07199259815144389,0.30058820542678777,0.20088851298141774,0.017967447064581716,0.27319141419597653,-0.06468792328238118,0.18631640671701766,0.10039119730375061,0.04281423876517444
gdes_TOT,0.24222297499277412,-0.03695175256747559,-0.06412127553548033,0.3193338200456831,-0.13341010098067443,0.029689993446608852,-0.09615940700400391,0.10594669488929023,0.019737416483273276,-0.037539155778820714,-0.25254171920757595
glsst_TOT,0.26474372203857616,0.005251509144792659,-0.00010858097068579458,0.27217618242653396,-0.13983386969845613,0.02050746122025347,0.04144370336564283,0.11964686981705919,-0.0029556545811168866,-0.058496067098557855,0.1512421490064481
rdes_TOT,0.25718361655379324,0.15228698929171205,0.19381534405064643,0.017094879559316847,-0.09419634630992545,-0.009756389330745886,0.23852519573259198,0.08970259324337501,0.030783457468936723,0.011940248747546968,0.06562337986992743
ides_TOT,0.255466134541219,-0.021667687445948262,-0.22615530767969436,-0.14705402451486554,-0.14636129403571643,-0.0131578553706918,0.03203835870333072,-0.03369776364139688,0.08235313236368755,0.11839446300633433,0.3176525674226727
ilsst_TOT,0.2907003485071279,0.048021854136646495,0.007770290218347381,-0.011588368032845109,-0.06363945429870327,-0.030752740978565854,-0.033092817325841344,0.0006224337629280631,0.10490308191012232,-0.10072015514839472,-0.0626017908021103
zlsst_TOT,0.28588340057998446,0.0036732741401585287,0.001744592096413335,-0.06506108190243536,0.029389617075762608,0.1739123199453089,-0.020978755802046802,-0.002308475902328513,-0.09324985200426911,-0.03940893536540335,-0.07080828588643921
zdes_TOT,0.2239092287638146,0.04440138618149226,0.16818253947703748,0.03913564704718422,0.15885873828783323,-0.0020743151352918925,-0.3830508828555134,-0.17008484975109672,0.13009745496743863,0.17305916077179767,0.40182877206988454
Jeuc_TOT,0.2628048659792857,-0.1259237768627983,0.04967609350702806,-0.03787474861980866,0.00984768360714936,-0.00561293801180826,0.007276974340745836,-0.1624107643046521,-0.19404389186733856,-0.19635218486347703,0.0061520564935272255
Yeuc_TOT,0.26032350348202765,0.14129249853022677,-0.12299609849677692,-0.036655351891791754,0.2130466626256767,-0.0256432067972285,-0.041182924725782735,0.1679820424816835,-0.07510040829437804,-0.0824931303395662,-0.02185085096905054
Heuc_TOT,0.2650950092621057,-0.18328681294671187,0.0819167544621344,-0.09560469782779099,0.014216322045302956,-0.01978084247457166,-0.04961039050904063,0.19757845091373352,0.048422941953638665,0.042501550002774835,-0.07593681980003734
VISeuc_TOT,0.2531110477285391,0.13371995199168893,-0.02343006694672867,0.06719050343052292,-0.11843621892893091,0.008489499027286823,0.016855072273754292,-0.24512175226289537,-0.013634839572314,0.054329879922815676,-0.12661415212751662
rlsst_TOT,0.28242539624881396,0.0738792053517085,0.019402009577238588,0.09549420209653035,-0.15332173845830752,0.01111872154480722,-0.01435729038616238,0.05590964506952002,0.061352623590779,0.09155814145430197,-0.027276042899178905
ylsst_TOT,0.27439845847750133,-0.04335544894263356,-0.004662662315696731,-0.04863014662288545,0.08272415313439191,-0.17514800062209698,-0.012502430265421749,-0.01180738159288045,-0.3021151371903785,0.06547482737032806,-0.08042364432279199
