component,explained_variance_ratio,cumulative_variance
1,0.4512327141091017,0.4512327141091017
2,0.08386746399935707,0.5351001781084588
3,0.07538446642379189,0.6104846445322507
4,0.06755294574161634,0.678037590273867
5,0.06541658656386114,0.7434541768377282
6,0.05681040389384278,0.8002645807315709
7,0.046281250095050595,0.8465458308266215
8,0.043439089256540324,0.8899849200831618
9,0.026857141210290023,0.9168420612934518
10,0.024509117028650593,0.9413511783221024
11,0.022180942059796184,0.9635321203818985
12,0.01909442395264324,0.9826265443345418
13,0.010408827868547996,0.9930353722030898
14,0.006964627796910069,0.9999999999999999
15,2.27840664419769e-17,0.9999999999999999
16,1.5965830545926853e-17,0.9999999999999999
17,1.069406297845079e-17,0.9999999999999999
18,2.7778031214209074e-18,0.9999999999999999
19,1.4321454373979861e-18,0.9999999999999999
20,0.0,0.9999999999999999
21,0.0,0.9999999999999999
22,0.0,0.9999999999999999
23,0.0,0.9999999999999999
24,0.0,0.9999999999999999
25,0.0,0.9999999999999999
